send_offset_ms,latency_ms,status_code
2,64,202
203,9,202
403,7,202
606,8,202
808,8,202
1001,8,202
1204,7,202
1407,7,202
1601,7,202
1804,7,202
2007,6,202
2200,6,202
2408,6,202
2609,7,202
2802,7,202
3006,7,202
3202,8,202
3401,6,202
3607,6,202
3807,6,202
4000,6,202
4210,7,202
4401,6,202
4601,8,202
4807,19,202
5002,6,202
5203,6,202
5400,7,202
5603,5,202
5809,6,202
6003,6,202
6201,6,202
6407,6,202
6603,5,202
6809,7,202
7001,8,202
7208,5,202
7410,6,202
7602,7,202
7805,5,202
8001,6,202
8200,6,202
8407,7,202
8605,5,202
8805,5,202
9007,7,202
9210,6,202
9406,5,202
9601,5,202
9801,6,202
10007,8,202
10204,10,202
10401,5,202
10608,5,202
10804,7,202
11004,6,202
11203,5,202
11407,5,202
11603,5,202
11805,5,202
12001,6,202
12203,5,202
12407,10,202
12607,8,202
12805,5,202
13004,7,202
13207,6,202
13404,6,202
13610,12,202
13807,7,202
14001,7,202
14203,10,202
14400,8,202
14604,11,202
14802,12,202
15004,9,202
15203,7,202
15404,7,202
15604,6,202
15804,8,202
16001,8,202
16207,10,202
16403,10,202
16603,6,202
16810,17,202
17003,6,202
17201,6,202
17407,9,202
17604,7,202
17808,7,202
18004,9,202
18204,7,202
18403,12,202
18605,6,202
18807,8,202
19003,8,202
19200,6,202
19404,7,202
19607,12,202
19804,10,202
20004,11,202
20203,8,202
20401,6,202
20604,10,202
20803,9,202
21008,12,202
21207,6,202
21405,7,202
21604,15,202
21811,8,202
22010,10,202
22207,10,202
22404,9,202
22608,12,202
22804,13,202
23003,9,202
23210,13,202
23410,8,202
23607,7,202
23810,13,202
24007,5,202
24204,6,202
24401,8,202
24606,8,202
24809,15,202
25003,9,202
25209,19,202
25403,6,202
25607,7,202
25804,5,202
26008,10,202
26208,6,202
26405,7,202
26607,9,202
26803,9,202
27007,15,202
27201,6,202
27407,9,202
27607,6,202
27810,10,202
28005,8,202
28201,5,202
28410,12,202
28610,8,202
28808,15,202
29003,6,202
29207,8,202
29402,12,202
29604,10,202
29807,9,202
30010,9,202
30207,12,202
30408,6,202
30607,15,202
30807,7,202
31008,10,202
31208,5,202
31410,12,202
31605,11,202
31804,16,202
32006,10,202
32210,13,202
32411,9,202
32606,12,202
32811,7,202
33004,12,202
33203,8,202
33410,12,202
33611,10,202
33810,10,202
34008,6,202
34211,6,202
34404,11,202
34610,9,202
34809,9,202
35007,7,202
35200,8,202
35406,9,202
35602,5,202
35810,13,202
36001,11,202
36208,11,202
36404,6,202
36603,9,202
36804,13,202
37007,8,202
37210,11,202
37405,8,202
37604,14,202
37803,8,202
38007,15,202
38205,10,202
38403,13,202
38604,13,202
38810,9,202
39002,13,202
39211,6,202
39410,10,202
39604,11,202
39805,41,202
40004,7,202
40207,8,202
40405,6,202
40610,15,202
40804,10,202
41010,8,202
41206,7,202
41401,9,202
41610,12,202
41810,9,202
42005,8,202
42207,8,202
42402,12,202
42603,7,202
42811,15,202
43010,13,202
43207,7,202
43408,12,202
43607,15,202
43804,7,202
44001,7,202
44210,10,202
44410,13,202
44600,8,202
44804,14,202
45010,15,202
45203,7,202
45410,6,202
45609,7,202
45808,15,202
46008,9,202
46204,7,202
46408,12,202
46603,10,202
46804,12,202
47004,9,202
47207,12,202
47407,8,202
47605,15,202
47804,16,202
48007,14,202
48203,11,202
48407,12,202
48607,15,202
48804,15,202
49007,7,202
49204,9,202
49404,15,202
49610,13,202
49810,13,202
50006,12,202
50210,11,202
50406,12,202
50610,13,202
50807,13,202
51008,12,202
51211,13,202
51410,13,202
51605,15,202
51810,12,202
52004,15,202
52207,8,202
52407,9,202
52604,10,202
52804,9,202
53004,9,202
53209,11,202
53408,8,202
53610,7,202
53803,14,202
54003,11,202
54207,10,202
54408,17,202
54604,12,202
54808,14,202
55007,18,202
55207,11,202
55407,12,202
55607,6,202
55804,16,202
56005,15,202
56209,12,202
56404,7,202
56601,13,202
56808,15,202
57006,12,202
57207,15,202
57405,9,202
57604,6,202
57807,13,202
58004,16,202
58204,13,202
58404,15,202
58604,15,202
58804,12,202
59004,10,202
59204,9,202
59409,14,202
59604,12,202
59807,6,202
60008,10,202
60207,14,202
60409,8,202
60604,9,202
60810,12,202
61004,15,202
61204,13,202
61411,15,202
61607,15,202
61804,15,202
62002,18,202
62206,14,202
62407,14,202
62604,11,202
62807,8,202
63010,11,202
63209,6,202
63402,8,202
63610,7,202
63803,8,202
64000,7,202
64210,8,202
64407,7,202
64605,15,202
64806,15,202
65004,15,202
65211,13,202
65410,7,202
65608,7,202
65810,12,202
66007,13,202
66204,9,202
66410,11,202
66608,12,202
66807,8,202
67005,13,202
67211,14,202
67404,9,202
67604,13,202
67809,15,202
68004,9,202
68201,9,202
68402,7,202
68601,6,202
68811,18,202
69006,11,202
69204,61,202
69407,12,202
69605,13,202
69809,15,202
70007,14,202
70210,10,202
70404,10,202
70604,10,202
70806,12,202
71007,15,202
71208,13,202
71405,15,202
71603,15,202
71804,20,202
72004,16,202
72204,15,202
72404,16,202
72607,15,202
72804,13,202
73009,17,202
73200,6,202
73402,6,202
73606,6,202
73807,14,202
74000,7,202
74208,5,202
74400,5,202
74610,6,202
74804,6,202
75007,5,202
75201,5,202
75408,6,202
75601,6,202
75805,14,202
76004,14,202
76210,12,202
76407,16,202
76607,15,202
76804,13,202
77007,14,202
77210,15,202
77404,11,202
77608,14,202
77810,15,202
78004,14,202
78205,5,202
78401,6,202
78609,6,202
78810,11,202
79001,9,202
79205,8,202
79406,10,202
79607,12,202
79810,12,202
80005,11,202
80204,11,202
80404,19,202
80607,11,202
80807,12,202
81001,12,202
81210,12,202
81405,15,202
81610,13,202
81809,11,202
82007,15,202
82207,15,202
82404,12,202
82606,10,202
82804,12,202
83011,11,202
83203,5,202
83405,6,202
83601,7,202
83807,11,202
84003,6,202
84207,12,202
84407,10,202
84607,12,202
84801,9,202
85004,15,202
85204,14,202
85407,10,202
85606,5,202
85810,11,202
86006,11,202
86209,11,202
86405,12,202
86610,15,202
86807,15,202
87006,13,202
87211,10,202
87409,7,202
87601,13,202
87806,13,202
88004,13,202
88202,7,202
88402,7,202
88604,6,202
88808,12,202
89004,12,202
89206,7,202
89404,11,202
89611,14,202
89807,14,202
90007,14,202
90204,11,202
90411,15,202
90601,12,202
90810,12,202
91008,15,202
91206,13,202
91408,12,202
91607,14,202
91806,6,202
92004,12,202
92210,15,202
92407,15,202
92608,14,202
92804,15,202
93000,15,202
93207,6,202
93403,6,202
93607,6,202
93811,15,202
94003,11,202
94204,15,202
94408,8,202
94610,9,202
94804,15,202
95004,15,202
95206,14,202
95404,8,202
95611,8,202
95810,13,202
96010,15,202
96204,12,202
96402,13,202
96606,5,202
96810,11,202
97010,13,202
97210,12,202
97411,7,202
97610,12,202
97810,15,202
98001,12,202
98209,5,202
98400,6,202
98603,6,202
98809,12,202
99003,13,202
99204,7,202
99407,14,202
99604,15,202
99811,8,202
100007,13,202
100206,9,202
100404,11,202
100604,13,202
100810,13,202
101007,14,202
101209,15,202
101404,13,202
101608,11,202
101801,14,202
102004,16,202
102210,14,202
102407,11,202
102608,17,202
102804,16,202
103005,14,202
103202,8,202
103404,6,202
103605,6,202
103807,10,202
104005,12,202
104204,14,202
104404,9,202
104608,11,202
104808,11,202
105004,9,202
105210,12,202
105404,12,202
105611,7,202
105804,15,202
106010,14,202
106208,12,202
106404,17,202
106604,15,202
106811,14,202
107004,15,202
107208,15,202
107407,10,202
107606,16,202
107807,15,202
108004,14,202
108201,8,202
108409,5,202
108604,7,202
108804,15,202
109003,7,202
109210,13,202
109410,12,202
109610,12,202
109810,13,202
110011,11,202
110210,9,202
110410,7,202
110600,8,202
110809,13,202
111002,15,202
111204,14,202
111411,14,202
111606,15,202
111804,15,202
112004,14,202
112211,14,202
112404,15,202
112611,15,202
112804,15,202
113011,14,202
113203,5,202
113402,6,202
113610,6,202
113804,9,202
114001,7,202
114204,12,202
114404,12,202
114607,13,202
114810,14,202
115008,13,202
115204,12,202
115403,6,202
115601,5,202
115804,11,202
116010,12,202
116208,11,202
116408,10,202
116604,8,202
116809,13,202
117006,15,202
117204,10,202
117406,8,202
117611,8,202
117808,10,202
118010,10,202
118203,6,202
118400,7,202
118610,5,202
118804,9,202
119002,5,202
119204,9,202
119404,9,202
119608,7,202
119810,7,202
